Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
1.5420129499998692,1000,,,,0,0.01232421875,-0.9605078125,-0.00006160723822886525,-0.0000969088649321396,16.262040198073375,0.05593135708092845,0,0,0.909558017282642,0,0,0,0,0.05859375,,
1.516599499999839,1175,,,,-0.01033203125,0.039609375,-0.98615234375,-0.008519117012137768,0.04206253193193412,16.245412626939956,0.31622763878808785,213.62830044479998,0,5.137247609873487,1.819662491496876,35.421891716047114,0.02310281035133928,0.008186797888511819,0.1780078125,,
7.3119668999998035,1218.4210526315765,,,,-0.0030078125,0.05236328125,-0.97896484375,-0.011898089209704355,0.0642354743481604,16.23253786186742,0.45180809288907203,258.76251490152,0,7.333991158442932,3.0783679808566973,41.97581269746645,0.02086526660584514,0.008759025831209433,0.24369140625,,
13.049693899999836,1261.8421052631595,,,,-0.01330078125,0.04197265625,-0.984375,-0.016337443858288635,0.09200807197258318,16.21580995669139,0.6257033356974532,302.43065278655996,0,10.146287366034382,4.941535252193934,48.70324460477201,0.018619968664886924,0.009068094609341423,0.3041015625,,
18.84288024999979,1305.2631578947357,,,,-0.0209375,0.036328125,-0.9821484375,-0.02033384764958175,0.11738410569688248,16.196452104332295,0.819130537934326,340.02504487464,0,13.267006677012228,6.91310839551272,52.10781416707095,0.016980211154692653,0.00884794509724797,0.43470703125,,
24.773682049999806,1348.6842105263174,,,,-0.012265625,0.04537109375,-0.98060546875,-0.02561789000886527,0.14969680919924283,16.169514007364725,1.0669721847171891,378.0383159832,0,17.25241414771353,9.685269366687187,56.14184128289857,0.015456918212479418,0.008677394615044149,0.7737109375,,
30.781243399999795,1392.1052631578934,,,,-0.01123046875,0.05109375,-0.99140625,-0.03134585677471077,0.1854053030773305,16.138345880934132,1.3503492046166885,416.67990562247996,0,21.792407257743267,13.061117953658565,59.935381547445516,0.014195294286849104,0.008508042622925531,2.090625,,
36.798148599999784,1435.5263157894763,,,,0.00017578125,0.05142578125,-0.97212890625,-0.03799756399994132,0.22619887881754291,16.097023899753946,1.693625719283784,453.4365396696,0,27.262334402744436,17.227769030322307,63.19333434076153,0.013130050044586356,0.008297194406996923,2.27173828125,,
42.613338699999844,1478.9473684210516,,,,0.0040625,0.0489453125,-0.95978515625,-0.04413281696348178,0.2685366825904056,16.0520807128358,2.066046473043709,487.67989959384,0,33.164339004708864,21.52279664746589,64.89772353520351,0.012476896793346334,0.008097204450629355,2.288984375,,
48.5881434999998,1522.3684210526312,,,,-0.012421875,0.0480078125,-0.98658203125,-0.05109808456380627,0.3138456250608224,15.996647329911246,2.4782970134154136,522.13269902832,0,39.64445351196302,26.68178825105464,67.30315099730313,0.011762627988541727,0.00791655835787592,1.6608984375,,
54.4167956999998,1565.7894736842127,,,,-0.01560546875,0.06125,-0.97759765625,-0.05907096576628535,0.360997429226768,15.933380902306688,2.9798430062521932,556.16661944232,0,47.478974147355274,32.85540933215429,69.20041167122557,0.01098810037715909,0.00760337329901737,1.42185546875,,
60.36294884999977,1609.2105263157873,,,,-0.0095703125,0.04369140625,-0.98537109375,-0.06674152851118938,0.41129114395306915,15.856572438896903,3.5386897149721097,589.46750157048,0,56.11146396353588,39.344327832820845,70.11803042414789,0.01045618192711222,0.007329977324984359,1.16650390625,,
66.10203939999984,1652.6315789473683,,,,-0.02,0.03208984375,-0.99474609375,-0.07603775294415635,0.4717948996868049,15.771320402737247,4.2190116555739845,623.6061417395999,0,66.53946809203462,47.41904794888728,71.26485646879482,0.00994960985668402,0.00709049762497278,1.13345703125,,
71.98527989999981,1696.05263157895,,,,-0.01341796875,0.042421875,-0.99947265625,-0.08390240353044329,0.5161847728959801,15.68469216265551,4.9244839573814465,654.4984694999999,0,77.23902007299782,54.91339989442889,71.09625266292487,0.009401387691321478,0.006682980462108992,0.988359375,,
77.5816523999998,1739.4736842105256,,,,-0.01328125,0.043671875,-1.00158203125,-0.09213242072601323,0.5679616918432917,15.591402026891988,5.673831390132568,685.1813577501599,0,88.46307624660201,63.122789616199455,71.35546328760113,0.008997869070038963,0.006420404424851041,0.96638671875,,
83.24254989999983,1782.8947368421066,,,,-0.0284375,0.0515625,-0.99740234375,-0.1010888693442277,0.6276242993412597,15.491856513692484,6.527111629280042,716.3878447759199,0,101.11715686450106,72.42409135087962,71.62436108862627,0.008665956650661964,0.006206913906421877,1.03416015625,,
89.05869314999984,1826.3157894736817,,,,0.01091796875,0.02494140625,-0.9932421875,-0.11032382137878156,0.68345952720308,15.38808243603092,7.426227235961488,744.24329963784,0,114.27554762608253,82.10499342136204,71.84810971374797,0.008324355999851622,0.005980827030421449,1.28830078125,,
94.95640279999985,1869.7368421052606,,,,0.001328125,0.02912109375,-0.991015625,-0.11879626113473106,0.7365142948739023,15.273820704104528,8.379119394213232,771.99403474464,0,127.98127159337442,91.71282817486006,71.66072793882964,0.008030709593232642,0.005754833339906603,1.18939453125,,
100.63749404999987,1913.157894736845,,,,-0.00208984375,0.05595703125,-1.0063671875,-0.12736119487624,0.7914135067726262,15.166362044129924,9.29213808371448,797.4409352388,0,140.92798121405144,101.56664263328047,72.0698472195973,0.007792312395063914,0.005615742897110247,1.191953125,,
